Location	Animal	Treatment
c001	Animal01	DMSO
c002	Animal02	DMSO
c003	Animal03	DMSO
c004	Animal04	DMSO
c005	Animal05	DMSO
c006	Animal06	DMSO
c007	Animal07	DMSO
c008	Animal08	DMSO
c009	Animal09	DMSO
c010	Animal10	DMSO
c011	Animal11	DMSO
c012	Animal12	DMSO
c013	Animal13	PFSO 0.1
c014	Animal14	PFSO 0.1
c015	Animal15	PFSO 0.1
c016	Animal16	PFSO 0.1
c017	Animal17	PFSO 0.1
c018	Animal18	PFSO 0.1
c019	Animal19	PFSO 0.1
c020	Animal20	PFSO 0.1
c021	Animal21	PFSO 0.1
c022	Animal22	PFSO 0.1
c023	Animal23	PFSO 0.1
c024	Animal24	PFSO 0.1
c025	Animal25	PFOS 1
c026	Animal26	PFOS 1
c027	Animal27	PFOS 1
c028	Animal28	PFOS 1
c029	Animal29	PFOS 1
c030	Animal30	PFOS 1
c031	Animal31	PFOS 1
c032	Animal32	PFOS 1
c033	Animal33	PFOS 1
c034	Animal34	PFOS 1
c035	Animal35	PFOS 1
c036	Animal36	PFOS 1
c037	Animal37	OBS 0.1
c038	Animal38	OBS 0.1
c039	Animal39	OBS 0.1
c040	Animal40	OBS 0.1
c041	Animal41	OBS 0.1
c042	Animal42	OBS 0.1
c043	Animal43	OBS 0.1
c044	Animal44	OBS 0.1
c045	Animal45	OBS 0.1
c046	Animal46	OBS 0.1
c047	Animal47	OBS 0.1
c048	Animal48	OBS 0.1
c049	Animal49	OBS 1
c050	Animal50	OBS 1
c051	Animal51	OBS 1
c052	Animal52	OBS 1
c053	Animal53	OBS 1
c054	Animal54	OBS 1
c055	Animal55	OBS 1
c056	Animal56	OBS 1
c057	Animal57	OBS 1
c058	Animal58	OBS 1
c059	Animal59	OBS 1
c060	Animal60	OBS 1
c061	Animal61	F53B 0.1
c062	Animal62	F53B 0.1
c063	Animal63	F53B 0.1
c064	Animal64	F53B 0.1
c065	Animal65	F53B 0.1
c066	Animal66	F53B 0.1
c067	Animal67	F53B 0.1
c068	Animal68	F53B 0.1
c069	Animal69	F53B 0.1
c070	Animal70	F53B 0.1
c071	Animal71	F53B 0.1
c072	Animal72	F53B 0.1
c073	Animal73	F53B 1
c074	Animal74	F53B 1
c075	Animal75	F53B 1
c076	Animal76	F53B 1
c077	Animal77	F53B 1
c078	Animal78	F53B 1
c079	Animal79	F53B 1
c080	Animal80	F53B 1
c081	Animal81	F53B 1
c082	Animal82	F53B 1
c083	Animal83	F53B 1
c084	Animal84	F53B 1
c085	Animal85	-
c086	Animal86	-
c087	Animal87	-
c088	Animal88	-
c089	Animal89	-
c090	Animal90	-
c091	Animal91	-
c092	Animal92	-
c093	Animal93	-
c094	Animal94	-
c095	Animal95	-
c096	Animal96	-
