Chemical,Cycle,Measurement,Df,Sum_Sq,Mean_Sq,F_Value,P_value,is_sig
PFOS,Light_1,Dose,2,743.0952155734586,371.5476077867293,1.8281935958533864,2.67e-01,FALSE
PFOS,Light_1,Residuals,155,31500.974151515144,203.2320913000977,NA, NA,NA
PFOS,Dark_1,Dose,2,46.16550623990605,23.082753119953026,0.9379597327715687,5.06e-01,FALSE
PFOS,Dark_1,Residuals,136,3346.8967959183674,24.60953526410564,NA, NA,NA
PFOS,Light_2,Dose,2,4109.639454512572,2054.819727256286,7.289587349524275,5.68e-03,TRUE
PFOS,Light_2,Residuals,153,43128.287404461786,281.884231401711,NA, NA,NA
PFOS,Dark_2,Dose,2,156.3976582073831,78.19882910369155,1.8267176844809005,2.67e-01,FALSE
PFOS,Dark_2,Residuals,140,5993.173530603811,42.80838236145579,NA, NA,NA
PFOS,Light_3,Dose,2,263.01845521442465,131.50922760721232,0.6111852055360548,6.12e-01,FALSE
PFOS,Light_3,Residuals,149,32060.453584259252,215.17082942455875,NA, NA,NA
PFOS,Dark_3,Dose,2,273.4149199241238,136.7074599620619,3.1954333199250384,1.09e-01,FALSE
PFOS,Dark_3,Residuals,134,5732.806101973686,42.78213508935587,NA, NA,NA
OBS,Light_1,Dose,2,1727.3308550600295,863.6654275300148,7.392560000923246,5.68e-03,TRUE
OBS,Light_1,Residuals,156,18225.324742424255,116.82900475912983,NA, NA,NA
OBS,Dark_1,Dose,2,146.31769993173208,73.15884996586604,3.096364959333393,1.09e-01,FALSE
OBS,Dark_1,Residuals,128,3024.2987886178867,23.62733428607724,NA, NA,NA
OBS,Light_2,Dose,2,824.7662116448508,412.3831058224254,2.350855219685911,1.97e-01,FALSE
OBS,Light_2,Residuals,160,28066.93342025698,175.41833387660614,NA, NA,NA
OBS,Dark_2,Dose,2,21.905869930620074,10.952934965310037,0.504161575962749,6.41e-01,FALSE
OBS,Dark_2,Residuals,129,2802.5313270390757,21.72504904681454,NA, NA,NA
OBS,Light_3,Dose,2,1239.9870324150147,619.9935162075074,3.963856331945077,6.27e-02,FALSE
OBS,Light_3,Residuals,160,25025.87235408805,156.41170221305032,NA, NA,NA
OBS,Dark_3,Dose,2,147.1246195131103,73.56230975655515,1.7473635899567568,2.67e-01,FALSE
OBS,Dark_3,Residuals,134,5641.269833041638,42.099028604788344,NA, NA,NA
F53B,Light_1,Dose,2,1647.77032409201,823.885162046005,6.074725101787834,1.30e-02,TRUE
F53B,Light_1,Residuals,154,20886.26445297806,135.6250938505069,NA, NA,NA
F53B,Dark_1,Dose,2,1.4139795411745402,0.7069897705872701,0.03757306222743627,9.63e-01,FALSE
F53B,Dark_1,Residuals,141,2653.1124093477156,18.816400066295856,NA, NA,NA
F53B,Light_2,Dose,2,651.1772603586875,325.58863017934374,1.6552886960127648,2.69e-01,FALSE
F53B,Light_2,Residuals,162,31864.748557823135,196.69597875199466,NA, NA,NA
F53B,Dark_2,Dose,2,41.207708458807936,20.603854229403968,0.8278718448625434,5.27e-01,FALSE
F53B,Dark_2,Residuals,142,3534.058222575673,24.887733961800514,NA, NA,NA
F53B,Light_3,Dose,2,2986.606005034708,1493.303002517354,8.708277226205187,4.58e-03,TRUE
F53B,Light_3,Residuals,164,28122.86357580362,171.4808754622172,NA, NA,NA
F53B,Dark_3,Dose,2,334.183640422079,167.0918202110395,4.134576473494478,6.27e-02,FALSE
F53B,Dark_3,Residuals,140,5657.859995941558,40.41328568529684,NA, NA,NA
PFOS,Light,Dose,2,603.5696319834015,301.7848159917007,1.2486597075465657,2.88e-01,FALSE
PFOS,Light,Residuals,463,111901.0799817505,241.686997800757,NA, NA,NA
PFOS,Dark,Dose,2,413.13752073617883,206.56876036808941,5.6498018884306465,7.59e-03,TRUE
PFOS,Dark,Residuals,416,15209.843815779323,36.56212455716183,NA, NA,NA
OBS,Light,Dose,2,3341.8941389028887,1670.9470694514443,11.210220839072392,1.05e-04,TRUE
OBS,Light,Residuals,482,71844.83687140637,149.05567815644474,NA, NA,NA
OBS,Dark,Dose,2,156.9669237392618,78.4834618696309,2.663464805503289,8.51e-02,FALSE
OBS,Dark,Residuals,397,11698.271476260734,29.466678781513185,NA, NA,NA
F53B,Light,Dose,2,2123.4424298120057,1061.7212149060028,6.131743588959284,7.03e-03,TRUE
F53B,Light,Residuals,486,84151.6777337872,173.1516002752823,NA, NA,NA
F53B,Dark,Dose,2,174.7964199067984,87.3982099533992,3.104367538433342,6.88e-02,FALSE
F53B,Dark,Residuals,429,12077.76837175987,28.153306227878485,NA, NA,NA
PFOS,NA,Dose,2,1111.7238930127692,555.8619465063846,3.8141359212385755,2.24e-02,TRUE
PFOS,NA,Residuals,882,128540.3160617895,145.7373197979473,NA, NA,NA
OBS,NA,Dose,2,2347.287307717762,1173.643653858881,12.160513065489376,1.85e-05,TRUE
OBS,NA,Residuals,882,85124.17996911837,96.51267570194827,NA, NA,NA
F53B,NA,Dose,2,1853.4680732112201,926.7340366056101,8.799610133016882,2.46e-04,TRUE
F53B,NA,Residuals,918,96679.492925703,105.3153517709183,NA, NA,NA
