Chemical,Cycle,Dose,diff,lwr.ci,upr.ci,pval,se,sd,mean,median,n
PFOS,Light_1,0.1,5.51136363636363,-0.928260124386004,11.9509873971133,0.3673488288024565,1.9401322654775806,15.028199907268673,43.4,49.9,60
PFOS,Light_1,1,3.45969696969697,-2.83370368078122,9.75309762017516,0.5401648806240861,1.8246840012263628,14.133941497681635,41.348333333333336,45.85,60
PFOS,Dark_1,0.1,0.565374149659867,-1.98072445848577,3.11147275780551,0.9111665924138171,0.7558865738135949,5.855072224003673,42.20204081632653,41.9,60
PFOS,Dark_1,1,1.43666666666667,-1.01920316041099,3.89253649374433,0.5337011128132495,0.5353116557092977,4.146506255185657,43.07333333333333,42.5,60
PFOS,Light_2,0.1,-7.17975190076031,-14.6698435108751,0.310339709354461,0.3673488288024565,2.483161910124957,19.234489447701115,31.603921568627452,37.9,60
PFOS,Light_2,1,5.20382653061224,-2.12058695536501,12.5282400165895,0.39715004613002103,1.8935457560626914,14.667342357025072,43.9875,49.5,60
PFOS,Dark_2,0.1,0.70285359801489,-2.58319704369045,3.98890423972023,0.9111665924138171,1.0804693550255469,8.369279636202824,41.55769230769231,43.2,60
PFOS,Dark_2,1,2.49349462365591,-0.709689835256694,5.69667908256852,0.3673488288024565,0.5716291104594572,4.4278200500336755,43.34833333333333,42.9,60
PFOS,Light_3,0.1,0.327703703703705,-6.10034614532407,6.75575355273148,0.9905033904857121,1.879219299567693,14.556370102194485,39.803703703703704,41.8,60
PFOS,Light_3,1,-2.64475,-9.2631325375513,3.9736325375513,0.766379025694322,2.1363506303875885,16.548100826301695,36.83125,41.1,60
PFOS,Dark_3,0.1,2.540625,-0.770965731096013,5.85221573109601,0.3673488288024565,0.7999807455572986,6.196624209660021,41.58125,41.55,60
PFOS,Dark_3,1,3.64358552631579,0.438276850556955,6.84889420207462,0.280008319252552,0.624470201516016,4.837125381348639,42.68421052631579,42.1,60
PFOS,Light_1,0,NA,NA,NA,1,1.7325838031547545,13.420536431054147,37.888636363636365,41.349999999999994,60
PFOS,Dark_1,0,NA,NA,NA,1,0.6283300557858356,4.8670236839602365,41.63666666666666,41.7,60
PFOS,Light_2,0,NA,NA,NA,1,2.108004498299899,16.328532631291658,38.78367346938776,42.5,60
PFOS,Dark_2,0,NA,NA,NA,1,0.838038972241993,6.491421965932037,40.854838709677416,40.8,60
PFOS,Light_3,0,NA,NA,NA,1,1.6454359883741252,12.745492360446656,39.476,40.900000000000006,60
PFOS,Dark_3,0,NA,NA,NA,1,1.1863509579505163,9.18943500579913,39.040625,41.65,60
OBS,Light_1,0.1,8.09469696969697,3.32408675565711,12.8653071837368,0.005358019734839292,1.1597344491162809,8.983264414900777,45.983333333333334,47.6,60
OBS,Light_1,1,6.00409090909091,1.14260376329923,10.8655780548826,0.0753435593488545,1.3286163194672334,10.291417757591976,43.89272727272727,45.1,60
OBS,Dark_1,0.1,0.153333333333336,-2.25902580405374,2.56569247072041,0.9840196566906525,0.5780382760575381,4.477465233282581,41.79,41.650000000000006,60
OBS,Dark_1,1,-2.17325203252032,-4.76524357354956,0.418739508508914,0.24117711633123018,0.6935822235416709,5.372464802004802,39.46341463414634,40.4,60
OBS,Light_2,0.1,5.16632653061225,-0.513605449055803,10.8462585102803,0.239726709747055,1.62895845549158,12.61785793956529,43.95,47.6,60
OBS,Light_2,1,4.54780801209372,-1.2722490610652,10.3678650852526,0.2506718083718474,1.3593048169456086,10.529129836899727,43.33148148148148,45.05,60
OBS,Dark_2,0.1,0.961827956989254,-1.32754988426507,3.25120579824357,0.745673803608793,0.5394712135111162,4.178726051373717,41.81666666666667,42.599999999999994,60
OBS,Dark_2,1,0.959795436664045,-1.50367142115213,3.42326229448022,0.745673803608793,0.460131873992027,3.5641661700606604,41.81463414634146,42,60
OBS,Light_3,0.1,6.24233333333333,0.906222748515408,11.5784439181513,0.0753435593488545,1.3110385146201182,10.155260666720455,45.718333333333334,48.05,60
OBS,Light_3,1,1.17871698113208,-4.31523401573975,6.6726679780039,0.9221482903485548,1.8760733099600506,14.532001371479003,40.654716981132076,46,60
OBS,Dark_3,0.1,2.59496822033898,-0.565592499482827,5.7555289401608,0.24117711633123018,0.78459581333198,6.077453037077644,41.63559322033898,42.9,60
OBS,Dark_3,1,1.1898097826087,-2.12407827113452,4.50369783635191,0.745673803608793,0.5712874969634777,4.425173923272139,40.2304347826087,39.800000000000004,60
OBS,Light_1,0,NA,NA,NA,1,1.7325838031547545,13.420536431054147,37.888636363636365,41.349999999999994,60
OBS,Dark_1,0,NA,NA,NA,1,0.6283300557858356,4.8670236839602365,41.63666666666666,41.7,60
OBS,Light_2,0,NA,NA,NA,1,2.108004498299899,16.328532631291658,38.78367346938776,42.5,60
OBS,Dark_2,0,NA,NA,NA,1,0.838038972241993,6.491421965932037,40.854838709677416,40.8,60
OBS,Light_3,0,NA,NA,NA,1,1.6454359883741252,12.745492360446656,39.476,40.900000000000006,60
OBS,Dark_3,0,NA,NA,NA,1,1.1863509579505163,9.18943500579913,39.040625,41.65,60
F53B,Light_1,0.1,3.60772727272727,-1.63225386987952,8.84770841533406,0.5169664999305416,1.4816073263048712,11.47648100079533,41.49636363636364,45,60
F53B,Light_1,1,8.03377742946709,2.85437613949362,13.2131787194406,0.01679514843903318,1.3277493666810465,10.284702370186276,45.92241379310345,47.25,60
F53B,Dark_1,0.1,-0.0434463276836112,-2.19394367310577,2.10705101773854,0.9983212620325788,0.5966085395502237,4.621309875766292,41.59322033898305,42.5,60
F53B,Dark_1,1,0.172424242424249,-2.00427302172166,2.34912150657016,0.9983212620325788,0.47384865484584243,3.6704158976814685,41.80909090909091,41.400000000000006,60
F53B,Light_2,0.1,4.87299319727891,-1.13924574624998,10.8852321408078,0.38462620176435214,1.5233259157430454,11.799631805037956,43.656666666666666,46.7,60
F53B,Light_2,1,2.14489795918367,-3.96310508189766,8.25290100026501,0.7737290430609223,1.8134425896548327,14.046865898072836,40.92857142857143,45.9,60
F53B,Dark_2,0.1,1.17566976489886,-1.27238863772945,3.62372816752717,0.5864831241035602,0.5545644155721654,4.295637491820491,42.03050847457627,42.5,60
F53B,Dark_2,1,1.39061583577713,-1.087915456643,3.86914712819725,0.5864831241035602,0.6084934755314224,4.713370194018139,42.24545454545454,42.7,60
F53B,Light_3,0.1,6.99010169491525,1.38566334415851,12.594540045672,0.04644681583181054,1.5020189672522724,11.634588891711429,46.46610169491525,48.7,60
