Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light,0,1.0570864800902398,14.182303365466526,38.75034965034965,41.4,180
F53B,Light,0.1,0.8758472985583312,11.750724584915893,43.9264367816092,46.75,180
F53B,Light,1,1.0148725399131764,13.615943926462386,41.16279069767442,45,180
F53B,Dark,0,0.5315932024751355,7.1320712226672756,40.48279569892473,41.599999999999994,180
F53B,Dark,0.1,0.3265606476238812,4.381270841180122,42.18103448275862,42.5,180
F53B,Dark,1,0.3716416232060174,4.98609559654211,41.596969696969694,41.6,180
OBS,Light,0,1.0570864800902398,14.182303365466526,38.75034965034965,41.4,180
OBS,Light,0.1,0.7954307089618182,10.67182281977686,45.21722222222222,47.8,180
OBS,Light,1,0.8888808337281672,11.925587808677218,42.6462962962963,45.8,180
OBS,Dark,0,0.5315932024751355,7.1320712226672756,40.48279569892473,41.599999999999994,180
OBS,Dark,0.1,0.36873974797498577,4.9471628548692514,41.74804469273743,42.4,180
OBS,Dark,1,0.3412518887811105,4.578374524588566,40.4921875,40.650000000000006,180
PFOS,Light,0,1.0570864800902398,14.182303365466526,38.75034965034965,41.4,180
PFOS,Light,0.1,1.2649963444914571,16.97170690542984,38.39496855345912,43.7,180
PFOS,Light,1,1.1354933482766778,15.234241888472972,40.927439024390246,46.2,180
PFOS,Dark,0,0.5315932024751355,7.1320712226672756,40.48279569892473,41.599999999999994,180
PFOS,Dark,0.1,0.5139102006171167,6.8948288574625645,41.77718120805369,42.6,180
PFOS,Dark,1,0.33211942441772024,4.455849657876756,43.041242937853106,42.4,180
