Chemical,Cycle,Measurement,Df,Sum_Sq,Mean_Sq,F_Value,P_value,is_sig
PFOS,Light_1,Dose,2,430.0000506116005,215.00002530580025,0.9178814279155452,5.21e-01,FALSE
PFOS,Light_1,Residuals,155,36306.436658249164,234.23507521451074,NA, NA,NA
PFOS,Dark_1,Dose,2,111.3323309352514,55.6661654676257,4.013392380987192,7.29e-02,FALSE
PFOS,Dark_1,Residuals,136,1886.3340000000007,13.870102941176476,NA, NA,NA
PFOS,Light_2,Dose,2,3359.5223666389625,1679.7611833194812,5.306628652876406,2.78e-02,TRUE
PFOS,Light_2,Residuals,153,48430.64737695079,316.5401789343189,NA, NA,NA
PFOS,Dark_2,Dose,2,25.747254192044398,12.873627096022199,0.40557566088446007,7.07e-01,FALSE
PFOS,Dark_2,Residuals,140,4443.826312241521,31.741616516010865,NA, NA,NA
PFOS,Light_3,Dose,2,1262.1775662280672,631.0887831140336,2.6450886530685445,1.67e-01,FALSE
PFOS,Light_3,Residuals,149,35549.745591666666,238.58889658836688,NA, NA,NA
PFOS,Dark_3,Dose,2,143.51682377705114,71.75841188852557,1.9343686808374747,2.97e-01,FALSE
PFOS,Dark_3,Residuals,134,4970.938212719299,37.09655382626343,NA, NA,NA
OBS,Light_1,Dose,2,455.66712864493934,227.83356432246967,1.5894498497063465,3.39e-01,FALSE
OBS,Light_1,Residuals,156,22361.218909090912,143.34114685314688,NA, NA,NA
OBS,Dark_1,Dose,2,202.18879016942822,101.09439508471411,5.2932779471058264,2.78e-02,TRUE
OBS,Dark_1,Residuals,128,2444.62556097561,19.098637195121952,NA, NA,NA
OBS,Light_2,Dose,2,265.3469474980187,132.67347374900936,0.6565332543622133,6.24e-01,FALSE
OBS,Light_2,Residuals,160,32333.10065986394,202.08187912414962,NA, NA,NA
OBS,Dark_2,Dose,2,4.540351298190393,2.2701756490951963,0.2516722466126705,7.78e-01,FALSE
OBS,Dark_2,Residuals,129,1163.6271487018091,9.020365493812474,NA, NA,NA
OBS,Light_3,Dose,2,951.1864941698491,475.59324708492454,2.8945311572037307,1.50e-01,FALSE
OBS,Light_3,Residuals,160,26289.20381257862,164.30752382861638,NA, NA,NA
OBS,Dark_3,Dose,2,100.67102359218947,50.335511796094735,1.1089699647089752,4.99e-01,FALSE
OBS,Dark_3,Residuals,134,6082.183282977155,45.38942748490414,NA, NA,NA
F53B,Light_1,Dose,2,931.4333926681713,465.71669633408567,2.9210735493135416,1.50e-01,FALSE
F53B,Light_1,Residuals,154,24552.744059561126,159.43340298416317,NA, NA,NA
F53B,Dark_1,Dose,2,215.0257132982366,107.5128566491183,7.522836843692887,1.42e-02,TRUE
F53B,Dark_1,Residuals,141,2015.1058839239856,14.291531091659472,NA, NA,NA
F53B,Light_2,Dose,2,221.7947210884345,110.89736054421725,0.4793236992000474,6.98e-01,FALSE
F53B,Light_2,Residuals,162,37480.66794557822,231.36214781221125,NA, NA,NA
F53B,Dark_2,Dose,2,17.597340479320447,8.798670239660224,0.9086870755158247,5.21e-01,FALSE
F53B,Dark_2,Residuals,142,1374.9630733137828,9.682838544463259,NA, NA,NA
F53B,Light_3,Dose,2,2183.8920381518656,1091.9460190759328,5.90373672025847,2.78e-02,TRUE
F53B,Light_3,Residuals,164,30333.186524722387,184.95845441903896,NA, NA,NA
F53B,Dark_3,Dose,2,113.32725449550475,56.66362724775237,1.7564858696833403,3.18e-01,FALSE
F53B,Dark_3,Residuals,140,4516.351626623377,32.25965447588127,NA, NA,NA
PFOS,Light,Dose,2,1116.560956394968,558.280478197484,2.069240897300416,2.92e-01,FALSE
PFOS,Light,Residuals,463,124917.23981613723,269.799654030534,NA, NA,NA
PFOS,Dark,Dose,2,48.60807769047581,24.304038845237905,0.8737293939451991,5.40e-01,FALSE
PFOS,Dark,Residuals,416,11571.637888896645,27.816437232924628,NA, NA,NA
OBS,Light,Dose,2,1153.9069467856746,576.9534733928373,3.392495095782084,2.07e-01,FALSE
OBS,Light,Residuals,482,81972.57956867824,170.06759246613743,NA, NA,NA
OBS,Dark,Dose,2,4.597563951275028,2.298781975637514,0.09042701026233846,9.14e-01,FALSE
OBS,Dark,Residuals,397,10092.299211048721,25.42140859206227,NA, NA,NA
F53B,Light,Dose,2,314.9225966139292,157.4612983069646,0.8006337700686366,5.40e-01,FALSE
F53B,Light,Residuals,486,95582.01744428588,196.67081778659647,NA, NA,NA
F53B,Dark,Dose,2,73.91755372177465,36.958776860887326,1.9319621379302268,2.92e-01,FALSE
F53B,Dark,Residuals,429,8206.845756463412,19.1301765884928,NA, NA,NA
PFOS,NA,Dose,2,190.93663181215302,95.46831590607651,0.5653606220890808,7.72e-01,FALSE
PFOS,NA,Residuals,882,148936.89326649296,168.86269077833668,NA, NA,NA
OBS,NA,Dose,2,770.8615502928436,385.4307751464218,3.597111966237682,8.34e-02,FALSE
OBS,NA,Residuals,882,94506.35589603485,107.15006337418917,NA, NA,NA
F53B,NA,Dose,2,61.63568219920374,30.81784109960187,0.25926400846127085,7.72e-01,FALSE
F53B,NA,Residuals,918,109119.57389434804,118.8666382291373,NA, NA,NA
