Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light_1,0,82.6085331724694,639.8829464631939,910.225,1059.65,60
F53B,Light_1,0.1,54.40583351261168,421.42577426175683,380.1890909090909,250.2,60
F53B,Light_1,1,67.75442573102033,524.8235249761781,500.05,335.4,60
F53B,Dark_1,0,38.04077366100707,294.6625657318523,1148.5166666666667,1144.05,60
F53B,Dark_1,0.1,38.65890931006001,299.45062388081055,964.3152542372882,937.9,60
F53B,Dark_1,1,43.02475772148105,333.2683402598102,1203.1309090909092,1242.9,60
F53B,Light_2,0,76.7976254918024,594.8718491160498,542.9979591836735,317.7,60
F53B,Light_2,0.1,59.28832001783086,459.2453521073495,432.125,243.75,60
F53B,Light_2,1,56.30410681381715,436.12973602599476,353.3910714285714,218.3,60
F53B,Dark_2,0,39.166687311822514,303.3838553696039,944.5354838709677,989.7,60
F53B,Dark_2,0.1,26.35531125829341,204.14736317496644,949.9881355932204,984.2,60
F53B,Dark_2,1,41.49463038700289,321.4160248917889,1093.2527272727273,1133.5,60
F53B,Light_3,0,79.8930116719454,618.8486073675987,778.644,730.55,60
F53B,Light_3,0.1,45.36745414691519,351.41478874166233,394.60677966101696,274.5,60
F53B,Light_3,1,60.604461958556705,469.4401437427021,325.3327586206897,157.10000000000002,60
F53B,Dark_3,0,41.64139027747022,322.5528221151312,936.421875,991,60
F53B,Dark_3,0.1,28.89511167258968,223.82057258948677,951.7035714285714,994.5999999999999,60
F53B,Dark_3,1,33.77439426335195,261.61533302041084,1054.610909090909,1079.6,60
OBS,Light_1,0,82.6085331724694,639.8829464631939,910.225,1059.65,60
OBS,Light_1,0.1,61.53203073371372,476.62506057999235,798.39,865.8,60
OBS,Light_1,1,72.46336207807923,561.2987890771979,784.8890909090909,822.1,60
OBS,Dark_1,0,38.04077366100707,294.6625657318523,1148.5166666666667,1144.05,60
OBS,Dark_1,0.1,44.170781918395846,342.14540551781363,990.825,1019.3000000000001,60
OBS,Dark_1,1,35.6714864097773,276.3101455990634,959.4512195121952,965,60
OBS,Light_2,0,76.7976254918024,594.8718491160498,542.9979591836735,317.7,60
OBS,Light_2,0.1,66.73370680733017,516.9170701909566,754.1516666666666,689.5,60
OBS,Light_2,1,52.12932177236059,403.79199014688055,387.9037037037037,233.85,60
OBS,Dark_2,0,39.166687311822514,303.3838553696039,944.5354838709677,989.7,60
OBS,Dark_2,0.1,36.68180553165488,284.13604386583694,1060.31,1108.85,60
OBS,Dark_2,1,27.544883258042443,213.36174826325177,942.9707317073171,981,60
OBS,Light_3,0,79.8930116719454,618.8486073675987,778.644,730.55,60
OBS,Light_3,0.1,64.32399517243547,498.2515241287378,740.415,692.2,60
OBS,Light_3,1,60.84191015911142,471.2794095953728,515.2962264150943,447.6,60
OBS,Dark_3,0,41.64139027747022,322.5528221151312,936.421875,991,60
OBS,Dark_3,0.1,38.41027380964742,297.52470157606274,1018.7762711864407,1070.1,60
OBS,Dark_3,1,31.302765894677815,242.4701820006334,944.3869565217391,955.7,60
PFOS,Light_1,0,82.6085331724694,639.8829464631939,910.225,1059.65,60
PFOS,Light_1,0.1,59.90566476435712,464.0272839516792,583.9777777777778,585,60
PFOS,Light_1,1,49.02556052262369,379.7503588852107,331.08666666666664,203.65,60
PFOS,Dark_1,0,38.04077366100707,294.6625657318523,1148.5166666666667,1144.05,60
PFOS,Dark_1,0.1,38.399445715585166,297.4408275201142,894.8469387755102,924.8,60
PFOS,Dark_1,1,47.02933925991418,364.28769547357257,953.1966666666667,952.5999999999999,60
PFOS,Light_2,0,76.7976254918024,594.8718491160498,542.9979591836735,317.7,60
PFOS,Light_2,0.1,67.91885530167743,526.097190953736,445.36470588235295,232.2,60
PFOS,Light_2,1,40.75899032835063,315.7177814998623,352.4660714285714,309.55,60
PFOS,Dark_2,0,39.166687311822514,303.3838553696039,944.5354838709677,989.7,60
PFOS,Dark_2,0.1,48.844270072898496,378.34608909998644,969.9,1011.1500000000001,60
PFOS,Dark_2,1,48.337245095454904,374.41869051248597,902.325,897.6500000000001,60
PFOS,Light_3,0,79.8930116719454,618.8486073675987,778.644,730.55,60
PFOS,Light_3,0.1,34.95822153031116,270.78521959984937,259.1648148148148,168.95,60
PFOS,Light_3,1,59.89296409223822,463.9289049684749,336.2416666666667,169.35000000000002,60
PFOS,Dark_3,0,41.64139027747022,322.5528221151312,936.421875,991,60
PFOS,Dark_3,0.1,40.355349553543114,312.5911935025028,885.475,854.5999999999999,60
PFOS,Dark_3,1,35.677871500815996,276.3596043015772,939.6017543859649,915.3,60
