Chemical,Dose,time_end,se,sd,mean,median,n
F53B,0,1,125.68948417859312,435.40114514889564,798.7083333333334,844.3,12
F53B,0,2,137.29220963703733,475.59416514949214,584.7416666666667,569.8,12
F53B,0,3,176.56574618898404,611.6416865512624,669.7,706.9,12
F53B,0,4,177.04779208399685,613.3115425147469,665.15,754.15,12
F53B,0,5,201.90276762778063,699.4117034401776,756.290909090909,1018.3,12
F53B,0,6,205.27808972311286,711.1041621622281,636.0777777777778,268.6,12
F53B,0,7,170.6553310299112,591.1674078525836,474.28749999999997,125.55,12
F53B,0,8,178.51396783714983,618.3905243093199,497.15,73.7,12
F53B,0,9,176.7708797452961,612.3522900350019,486.24,41.55,12
F53B,0,10,175.7326347777382,608.7557039659761,502.96,143.45,12
F53B,0,11,182.884298785938,633.5297948077035,652.0909090909091,1007.7,12
F53B,0,12,214.89962746421705,744.434146591296,769.9888888888889,998.4,12
F53B,0,13,220.2829608869984,763.082560595978,750.0500000000001,638.05,12
F53B,0,14,208.72471328881974,723.0436164229652,736.6375,665.35,12
F53B,0,15,195.4162863231145,676.9418730761228,610.5571428571428,284,12
F53B,0,16,203.12740535327958,703.6539729630372,649.9833333333333,596.2,12
F53B,0,17,194.41952183930047,673.4889796178306,669.0833333333334,690.15,12
F53B,0,18,198.89086726980034,688.9781745454641,666,442.7,12
F53B,0,19,150.75269799370412,522.2226646063646,692.85,709.05,12
F53B,0,20,122.24268374900288,423.4610782136946,568.8142857142857,556.8,12
F53B,0,21,77.53391014402811,268.5853433578733,1355.1,1297.05,12
F53B,0,22,83.61757839513572,289.6597883724975,1047.54,870.3,12
F53B,0,23,74.63371083934388,258.53875826229523,1150.9571428571428,1192.8,12
F53B,0,24,107.1522564924723,371.1863047812282,1148.057142857143,1199.8,12
F53B,0,25,83.3671788411753,288.7923788731934,1100.6142857142856,1058.3,12
F53B,0,26,108.86054726116345,377.10399759217614,958,984.3,12
F53B,0,27,169.35675597285984,586.6690119000743,1246.142857142857,1386.9,12
F53B,0,28,195.12006707603803,675.9157395038903,881.4090909090909,1020.2,12
F53B,0,29,220.62921572931666,764.2820225545019,809.1,1061.6,12
F53B,0,30,216.80579851755198,751.0373168158824,715.9375,568.6500000000001,12
F53B,0,31,68.07994014392199,235.83583061104179,958.05,945.7,12
F53B,0,32,77.12391058117666,267.16506320999383,947.95,976.5,12
F53B,0,33,125.68984799453332,435.4024054442817,970.6666666666666,1025,12
F53B,0,34,83.90643002773983,290.66039977953653,908.8,941.3,12
F53B,0,35,101.56961468364507,351.84746627453427,938.2571428571429,997.9,12
F53B,0,36,114.66371661990951,397.2067659407263,534.9090909090909,470.8,12
F53B,0,37,196.10189427900696,679.3168887034811,552.6555555555556,259.5,12
F53B,0,38,200.4578953319772,694.4065189866171,512.9888888888889,168.9,12
F53B,0,39,183.31460264165173,635.0204110892814,479.8666666666667,182.6,12
F53B,0,40,194.14422665231186,672.5353291159438,619.3909090909091,406.3,12
F53B,0,41,148.6113750880314,514.8049044702922,824.4166666666666,950.0500000000001,12
F53B,0,42,120.63670772198651,417.8978140646347,965.76,1045,12
F53B,0,43,59.775236418511035,207.0674930226052,976.0333333333333,911.6,12
F53B,0,44,86.48403023170839,299.5894688092834,973.1125000000001,1065.4,12
F53B,0,45,59.99421367601358,207.8260524939982,935.5857142857143,948.2,12
F53B,0,46,154.0116478279051,533.5119979906731,864.1,847.8,12
F53B,0,47,188.11639606822413,651.6543114538288,809.4818181818182,758.8,12
F53B,0,48,210.82546449962226,730.3208320853088,872.1444444444445,929.1,12
F53B,0,49,194.01636946497678,672.0924188267893,746.6777777777778,650.9,12
F53B,0,50,174.20551677278786,603.4656120185216,595.34,321.2,12
F53B,0.1,1,95.60103326118427,331.17169372890663,382.1545454545454,209.1,12
F53B,0.1,2,70.69453387900914,244.89304899168627,236.69,183.89999999999998,12
F53B,0.1,3,57.91319549222969,200.61719404242137,217.43636363636364,135,12
F53B,0.1,4,65.31544019045364,226.25932185718386,226.14545454545456,161.4,12
F53B,0.1,5,77.89339004126866,269.83061825051385,274.1636363636364,147.1,12
F53B,0.1,6,86.00714047171441,297.9374742214456,288.76363636363635,132.1,12
F53B,0.1,7,85.12023483748078,294.86514298142214,254.23636363636362,139.1,12
F53B,0.1,8,79.92927214390573,276.883120730489,215.16363636363636,117.3,12
F53B,0.1,9,74.28962252664579,257.34680138252776,207.02727272727273,93.8,12
F53B,0.1,10,66.16895916823391,229.21599832666323,113.75,17.15,12
F53B,0.1,11,37.655053385363104,130.4409312503347,140.06363636363636,122.3,12
F53B,0.1,12,64.14835811215163,222.2164309447395,170.07272727272726,79.7,12
F53B,0.1,13,138.68979075839022,480.43552816925677,349.3454545454546,85.9,12
F53B,0.1,14,161.30269568845907,558.7689286604648,413.4181818181818,158.2,12
F53B,0.1,15,162.8955219169823,564.2866405713258,437.44545454545454,134.6,12
F53B,0.1,16,155.85925048890414,539.9122813527727,338.94,92,12
F53B,0.1,17,181.33444484953458,628.1609432833808,384.02000000000004,106.25,12
F53B,0.1,18,149.96220354056132,519.4843114944752,350.39,160.89999999999998,12
