Chemical,Cycle,Measurement,Df,Sum_Sq,Mean_Sq,F_Value,P_value,is_sig
PFOS,Light_1,Dose,2,598118.8003262815,299059.40016314073,5.709611303376231,1.46e-02,TRUE
PFOS,Light_1,Residuals,155,8118627.444547136,52378.241577723464,NA, NA,NA
PFOS,Dark_1,Dose,2,74527.32474372347,37263.662371861734,3.4646076113167856,1.02e-01,FALSE
PFOS,Dark_1,Residuals,136,1462750.9522346938,10755.521707608043,NA, NA,NA
PFOS,Light_2,Dose,2,1393693.6787480763,696846.8393740382,7.826132339271262,2.61e-03,TRUE
PFOS,Light_2,Residuals,153,13623276.70964936,89041.02424607424,NA, NA,NA
PFOS,Dark_2,Dose,2,20063.80076671167,10031.900383355834,0.5758609896090993,6.76e-01,FALSE
PFOS,Dark_2,Residuals,140,2438897.718394128,17420.697988529486,NA, NA,NA
PFOS,Light_3,Dose,2,125429.8213347469,62714.91066737345,0.8888186618076274,5.72e-01,FALSE
PFOS,Light_3,Residuals,149,10513417.518073149,70559.8491145849,NA, NA,NA
PFOS,Dark_3,Dose,2,91995.57789369585,45997.788946847926,3.1211569552155463,1.18e-01,FALSE
PFOS,Dark_3,Residuals,134,1974813.7653179823,14737.41615908942,NA, NA,NA
OBS,Light_1,Dose,2,678527.4689388216,339263.7344694108,9.785143508262001,8.93e-04,TRUE
OBS,Light_1,Residuals,156,5408724.208545454,34671.30902913753,NA, NA,NA
OBS,Dark_1,Dose,2,52882.14357270541,26441.071786352706,3.0141388905888236,1.18e-01,FALSE
OBS,Dark_1,Residuals,128,1122860.3961219518,8772.346844702748,NA, NA,NA
OBS,Light_2,Dose,2,203151.41727758522,101575.70863879261,1.871810119510692,2.83e-01,FALSE
OBS,Light_2,Residuals,160,8682565.187998485,54266.03242499053,NA, NA,NA
OBS,Dark_2,Dose,2,12373.008019454923,6186.504009727461,0.6802394432255804,6.54e-01,FALSE
OBS,Dark_2,Residuals,129,1173203.0907684234,9094.597602855996,NA, NA,NA
OBS,Light_3,Dose,2,164686.16309910064,82343.08154955032,1.6979480902733575,2.86e-01,FALSE
OBS,Light_3,Residuals,160,7759302.609661635,48495.64131038522,NA, NA,NA
OBS,Dark_3,Dose,2,3464.029548999782,1732.014774499891,0.14041797679386978,8.69e-01,FALSE
OBS,Dark_3,Residuals,134,1652850.903297716,12334.708233565045,NA, NA,NA
F53B,Light_1,Dose,2,1277510.9695391872,638755.4847695936,15.387377273050515,1.46e-05,TRUE
F53B,Light_1,Residuals,154,6392794.7504608175,41511.65422377154,NA, NA,NA
F53B,Dark_1,Dose,2,3924.8992048236996,1962.4496024118498,0.4150789855343841,7.44e-01,FALSE
F53B,Dark_1,Residuals,141,666633.1073923983,4727.894378669492,NA, NA,NA
F53B,Light_2,Dose,2,290555.2241139458,145277.6120569729,2.2952617132843653,2.08e-01,FALSE
F53B,Light_2,Residuals,162,10253720.966552718,63294.57386760937,NA, NA,NA
F53B,Dark_2,Dose,2,2639.983847726709,1319.9919238633545,0.18537037967637424,8.69e-01,FALSE
F53B,Dark_2,Residuals,142,1011158.5978074453,7120.83519582708,NA, NA,NA
F53B,Light_3,Dose,2,998978.472991154,499489.236495577,8.616175342731845,1.66e-03,TRUE
F53B,Light_3,Residuals,164,9507261.810122617,57971.10859830864,NA, NA,NA
F53B,Dark_3,Dose,2,38126.24818381638,19063.12409190819,1.6774934737621596,2.86e-01,FALSE
F53B,Dark_3,Residuals,140,1590967.3656623375,11364.05261187384,NA, NA,NA
PFOS,Light,Dose,2,637805.0952150354,318902.5476075177,4.3750972557528955,1.97e-02,TRUE
PFOS,Light,Residuals,463,33748250.8184545,72890.39053661878,NA, NA,NA
PFOS,Dark,Dose,2,153631.1975299454,76815.5987649727,5.406621918739164,9.62e-03,TRUE
PFOS,Dark,Residuals,416,5910398.316455738,14207.688260710907,NA, NA,NA
OBS,Light,Dose,2,714344.3030661906,357172.1515330953,7.738036732234919,1.48e-03,TRUE
OBS,Light,Residuals,482,22248146.78402659,46157.98087972321,NA, NA,NA
OBS,Dark,Dose,2,17068.10159943972,8534.05079971986,0.8451522442006436,4.30e-01,FALSE
OBS,Dark,Residuals,397,4008766.693500551,10097.649102016501,NA, NA,NA
F53B,Light,Dose,2,1273990.352591522,636995.176295761,11.266042431949407,9.89e-05,TRUE
F53B,Light,Residuals,486,27479006.718615036,56541.16608768526,NA, NA,NA
F53B,Dark,Dose,2,18123.632444568124,9061.816222284062,1.1737258021214012,3.72e-01,FALSE
F53B,Dark,Residuals,429,3312118.6842220984,7720.556373478085,NA, NA,NA
PFOS,NA,Dose,2,595357.2433674433,297678.62168372166,6.556838029678751,2.24e-03,TRUE
PFOS,NA,Residuals,882,40042554.526530854,45399.72168540913,NA, NA,NA
OBS,NA,Dose,2,281834.0512502552,140917.0256251276,4.396159594568726,1.26e-02,TRUE
OBS,NA,Residuals,882,28272134.78667068,32054.574588061998,NA, NA,NA
F53B,NA,Dose,2,625562.0869714118,312781.0434857059,8.587310532605803,6.06e-04,TRUE
F53B,NA,Residuals,918,33436894.686600793,36423.63255621002,NA, NA,NA
