Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light_1,0,23.13796182268359,179.2258816088731,481.5681818181818,495.95,60
F53B,Light_1,0.1,27.548881547587513,213.3927188808945,606.2290909090909,633.5,60
F53B,Light_1,1,27.31976504030057,211.61799004676743,707.4879310344828,733.05,60
F53B,Dark_1,0,10.451188505990094,80.95455806354802,513.3233333333334,516.6,60
F53B,Dark_1,0.1,9.919425911954518,76.83554272187634,521.7152542372881,523,60
F53B,Dark_1,1,6.43492825783642,49.84473995327993,510.2690909090909,507.4,60
F53B,Light_2,0,35.589641220677585,275.6761754903626,567.295918367347,595,60
F53B,Light_2,0.1,30.025138722746156,232.5737244815266,670.0383333333333,673.65,60
F53B,Light_2,1,32.16673552607976,249.16246198873077,636.4089285714285,713.05,60
F53B,Dark_2,0,15.537163610086463,120.35035181832956,535.841935483871,531.7,60
F53B,Dark_2,0.1,8.247683810197996,63.886284083362746,526.6830508474576,524.5,60
F53B,Dark_2,1,10.2425501272323,79.33845213093072,524.6036363636364,530.4,60
F53B,Light_3,0,29.34308261261731,227.29054057011052,568.542,560.5999999999999,60
F53B,Light_3,0.1,29.16616385751231,225.9201337858037,718.606779661017,719.7,60
F53B,Light_3,1,34.26572593695763,265.4211717990889,548.3344827586207,519.05,60
F53B,Dark_3,0,17.290846294828885,133.93431948340898,509.375,510.65,60
F53B,Dark_3,0.1,9.971045180488453,77.23538385662701,549.1642857142857,531.2,60
F53B,Dark_3,1,14.769684052252675,114.40548072623977,521.5072727272727,514.8,60
OBS,Light_1,0,23.13796182268359,179.2258816088731,481.5681818181818,495.95,60
OBS,Light_1,0.1,22.69486840625874,175.7936947636179,637.94,659.8,60
OBS,Light_1,1,26.082607545758975,202.03500930077684,611.8727272727273,578.8,60
OBS,Dark_1,0,10.451188505990094,80.95455806354802,513.3233333333334,516.6,60
OBS,Dark_1,0.1,14.507817757432111,112.37707312869361,528.9233333333333,518.8,60
OBS,Dark_1,1,8.843948852227324,68.50493323877326,482.43658536585366,488.6,60
OBS,Light_2,0,35.589641220677585,275.6761754903626,567.295918367347,595,60
OBS,Light_2,0.1,28.46587781558257,220.49574142985293,614.6433333333333,632.0999999999999,60
OBS,Light_2,1,26.09976180932712,202.1678856550086,656.2185185185185,642.95,60
OBS,Dark_2,0,15.537163610086463,120.35035181832956,535.841935483871,531.7,60
OBS,Dark_2,0.1,11.636358533693882,90.13484562298993,511.96666666666664,498.4,60
OBS,Dark_2,1,10.39518602429388,80.52076470563657,525.1536585365853,504.3,60
OBS,Light_3,0,29.34308261261731,227.29054057011052,568.542,560.5999999999999,60
OBS,Light_3,0.1,24.868757106813053,192.6325642311286,640.8166666666667,623.75,60
OBS,Light_3,1,31.20744859172606,241.7318573467583,583.0377358490566,611.2,60
OBS,Dark_3,0,17.290846294828885,133.93431948340898,509.375,510.65,60
OBS,Dark_3,0.1,14.975553596873365,116.00013936185425,519.835593220339,531.9,60
OBS,Dark_3,1,10.823680623444378,83.83986959853598,509.9065217391304,499.75,60
PFOS,Light_1,0,23.13796182268359,179.2258816088731,481.5681818181818,495.95,60
PFOS,Light_1,0.1,31.281848236911568,242.3081545202927,619.8703703703703,657.7,60
PFOS,Light_1,1,32.00275066082222,247.89224068438574,617.865,644.2,60
PFOS,Dark_1,0,10.451188505990094,80.95455806354802,513.3233333333334,516.6,60
PFOS,Dark_1,0.1,16.371590365277143,126.81379367129635,574.5081632653062,578.9,60
PFOS,Dark_1,1,11.89373786989989,92.1284973885575,563.2216666666667,535.25,60
PFOS,Light_2,0,35.589641220677585,275.6761754903626,567.295918367347,595,60
PFOS,Light_2,0.1,42.82781284483128,331.7428118050393,467.5627450980392,502.8,60
PFOS,Light_2,1,36.8154244323811,285.1710514203393,695.0375,771.25,60
PFOS,Dark_2,0,15.537163610086463,120.35035181832956,535.841935483871,531.7,60
PFOS,Dark_2,0.1,21.250015402354457,164.60191151993982,548.4884615384616,569.85,60
PFOS,Dark_2,1,13.2616886918133,102.72459889196027,565.8316666666667,538.5999999999999,60
PFOS,Light_3,0,29.34308261261731,227.29054057011052,568.542,560.5999999999999,60
PFOS,Light_3,0.1,35.14941144144111,272.26617028338774,630.6685185185186,633.6,60
PFOS,Light_3,1,37.91180059083976,293.6635446261178,573.0854166666667,614.65,60
PFOS,Dark_3,0,17.290846294828885,133.93431948340898,509.375,510.65,60
PFOS,Dark_3,0.1,17.504539513806854,135.58958004000723,566.69375,558.95,60
PFOS,Dark_3,1,12.8481307375934,99.52119275318972,573.240350877193,553.9,60
