Chemical,Cycle,Measurement,Df,Sum_Sq,Mean_Sq,F_Value,P_value,is_sig
PFOS,Light_1,Dose,2,5140284.494992244,2570142.247496122,7.434572665257807,3.72e-03,TRUE
PFOS,Light_1,Residuals,155,53583718.432602696,345701.40924259805,NA, NA,NA
PFOS,Dark_1,Dose,2,712528.9009709507,356264.45048547536,3.89639080998578,4.52e-02,TRUE
PFOS,Dark_1,Residuals,136,12435088.683057817,91434.47561071924,NA, NA,NA
PFOS,Light_2,Dose,2,1024920.639379828,512460.319689914,1.188736034835404,3.95e-01,FALSE
PFOS,Light_2,Residuals,153,65957812.849017605,431096.81600665103,NA, NA,NA
PFOS,Dark_2,Dose,2,73282.19350808299,36641.09675404149,0.2891324312569682,7.93e-01,FALSE
PFOS,Dark_2,Residuals,140,17741882.234603804,126727.73024717002,NA, NA,NA
PFOS,Light_3,Dose,2,6749190.507113591,3374595.2535567954,9.23333928588795,1.49e-03,TRUE
PFOS,Light_3,Residuals,149,54456429.814991675,365479.39473148773,NA, NA,NA
PFOS,Dark_3,Dose,2,133819.51875107957,66909.75937553978,0.7252362534622803,5.58e-01,FALSE
PFOS,Dark_3,Residuals,134,12362740.711759869,92259.2590429841,NA, NA,NA
OBS,Light_1,Dose,2,65804.23333419111,32902.11666709556,0.09571527732335071,9.09e-01,FALSE
OBS,Light_1,Residuals,156,53624983.84377272,343749.8964344405,NA, NA,NA
OBS,Dark_1,Dose,2,845506.6426611752,422753.3213305876,4.476711876775017,2.97e-02,TRUE
OBS,Dark_1,Residuals,128,12087538.045735773,94433.89098231072,NA, NA,NA
OBS,Light_2,Dose,2,3371664.701782542,1685832.350891271,5.379980708689456,1.64e-02,TRUE
OBS,Light_2,Residuals,160,50136457.8699966,313352.8616874787,NA, NA,NA
OBS,Dark_2,Dose,2,322611.6280148759,161305.81400743796,2.7489417879447684,1.11e-01,FALSE
OBS,Dark_2,Residuals,129,7569621.917136638,58679.23966772588,NA, NA,NA
OBS,Light_3,Dose,2,2589470.539565001,1294735.2697825006,3.6602781183578283,5.02e-02,FALSE
OBS,Light_3,Residuals,160,56596148.288901255,353725.92680563283,NA, NA,NA
OBS,Dark_3,Dose,2,260336.5091872452,130168.2545936226,1.470215018307514,3.23e-01,FALSE
OBS,Dark_3,Residuals,134,11863942.279425893,88536.88268228278,NA, NA,NA
F53B,Light_1,Dose,2,4078267.442847522,2039133.721423761,5.9638893270359254,1.15e-02,TRUE
F53B,Light_1,Residuals,154,52654664.74632445,341913.40744366526,NA, NA,NA
F53B,Dark_1,Dose,2,1575359.0229152562,787679.5114576281,7.836391935423257,3.56e-03,TRUE
F53B,Dark_1,Residuals,141,14172697.337084746,100515.58395095564,NA, NA,NA
F53B,Light_2,Dose,2,499730.97553370526,249865.48776685263,0.704882550336814,5.58e-01,FALSE
F53B,Light_2,Residuals,162,57425466.12749659,354478.1859722012,NA, NA,NA
F53B,Dark_2,Dose,2,668509.0897926355,334254.54489631776,4.549732185526246,2.97e-02,TRUE
F53B,Dark_2,Residuals,142,10432294.35048322,73466.86162312127,NA, NA,NA
F53B,Light_3,Dose,2,6036484.437140321,3018242.2185701607,9.574194637189393,1.49e-03,TRUE
F53B,Light_3,Residuals,164,51700612.177111164,315247.6352262876,NA, NA,NA
F53B,Dark_3,Dose,2,368998.99110670656,184499.49555335328,2.4875782582913684,1.30e-01,FALSE
F53B,Dark_3,Residuals,140,10383564.53364854,74168.31809748957,NA, NA,NA
PFOS,Light,Dose,2,8570130.232643075,4285065.116321538,11.021661312873173,6.32e-05,TRUE
PFOS,Light,Residuals,463,180007813.02720672,388785.77327690437,NA, NA,NA
PFOS,Dark,Dose,2,121613.9543746433,60806.97718732165,0.5805895628050215,5.60e-01,FALSE
PFOS,Dark,Residuals,416,43568992.84877573,104733.15588648012,NA, NA,NA
OBS,Light,Dose,2,3920924.654498342,1960462.327249171,5.670779152698591,5.52e-03,TRUE
OBS,Light,Residuals,482,166633687.59201708,345713.04479671596,NA, NA,NA
OBS,Dark,Dose,2,618738.0297903491,309369.01489517454,3.785582454991391,2.82e-02,TRUE
OBS,Dark,Residuals,397,32444016.31020968,81722.96299800927,NA, NA,NA
F53B,Light,Dose,2,5666239.525101285,2833119.7625506427,8.202938278570326,6.27e-04,TRUE
F53B,Light,Residuals,486,167854024.72144273,345378.6516902114,NA, NA,NA
F53B,Dark,Dose,2,1937231.412813563,968615.7064067814,11.423905703242415,6.32e-05,TRUE
F53B,Dark,Residuals,429,36374261.90681605,84788.48929327751,NA, NA,NA
PFOS,NA,Dose,2,3269288.4866242283,1634644.2433121142,5.3746778928835965,7.18e-03,TRUE
PFOS,NA,Residuals,882,268249791.21265262,304138.0852751164,NA, NA,NA
OBS,NA,Dose,2,4534693.072735721,2267346.5363678606,9.530656357429812,2.41e-04,TRUE
OBS,NA,Residuals,882,209828113.62382922,237900.3555825728,NA, NA,NA
F53B,NA,Dose,2,1375883.7775153876,687941.8887576938,2.4823227922767694,8.41e-02,FALSE
F53B,NA,Residuals,918,254411173.2142327,277136.35426387005,NA, NA,NA
