Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light_1,0,94.93823244524485,735.388386357604,1391.793181818182,1647.0500000000002,60
F53B,Light_1,0.1,61.5553602128323,476.80576994819626,986.4181818181818,868.7,60
F53B,Light_1,1,70.76001629044809,548.104729340542,1207.5379310344827,1211.85,60
F53B,Dark_1,0,40.69347890371818,315.21033218668674,1661.84,1687.75,60
F53B,Dark_1,0.1,39.30966489725773,304.491354984147,1486.0305084745762,1492.6,60
F53B,Dark_1,1,42.723122154948676,330.9318812082027,1713.4,1714.5,60
F53B,Light_2,0,84.35779431189391,653.4326649855118,1110.2938775510204,1176.8999999999999,60
F53B,Light_2,0.1,70.82131609459823,548.5795555817405,1102.1633333333334,1063.2,60
F53B,Light_2,1,76.2278682038865,590.4585281410926,989.8000000000001,862,60
F53B,Dark_2,0,36.92197143371371,285.99636094383834,1480.3774193548386,1475.8,60
F53B,Dark_2,0.1,28.5895341001273,221.45357889124415,1476.671186440678,1534.4,60
F53B,Dark_2,1,39.80685977266629,308.34260992870105,1617.8563636363635,1651.6,60
F53B,Light_3,0,92.02899347229551,712.8535181728632,1347.186,1437.3,60
F53B,Light_3,0.1,49.97895128547175,387.13529197908775,1113.213559322034,1121.9,60
F53B,Light_3,1,72.76512082918676,563.6362023124215,873.6672413793103,792.4,60
F53B,Dark_3,0,48.378605251376854,374.7390649026505,1445.796875,1518.1000000000001,60
F53B,Dark_3,0.1,28.408332549185427,220.04999771303451,1500.8678571428572,1546.6,60
F53B,Dark_3,1,32.236797861506595,249.70516250533984,1576.118181818182,1561.6,60
OBS,Light_1,0,94.93823244524485,735.388386357604,1391.793181818182,1647.0500000000002,60
OBS,Light_1,0.1,61.95661628212069,479.9138860960335,1436.33,1530.7,60
OBS,Light_1,1,71.96970708289845,557.4749539269834,1396.7618181818182,1462.1,60
OBS,Dark_1,0,40.69347890371818,315.21033218668674,1661.84,1687.75,60
OBS,Dark_1,0.1,40.13250352190815,310.86503556392154,1519.7483333333332,1557.2,60
OBS,Dark_1,1,38.21311862383584,295.9975440735294,1441.8878048780489,1460.9,60
OBS,Light_2,0,84.35779431189391,653.4326649855118,1110.2938775510204,1176.8999999999999,60
OBS,Light_2,0.1,71.95953564860402,557.3961663357246,1368.795,1452.3000000000002,60
OBS,Light_2,1,59.63978689007449,461.9678027932359,1044.1222222222223,1033,60
OBS,Dark_2,0,36.92197143371371,285.99636094383834,1480.3774193548386,1475.8,60
OBS,Dark_2,0.1,33.459019403931926,259.1724498637183,1572.2766666666666,1573.0500000000002,60
OBS,Dark_2,1,21.916063321319022,169.76109651579156,1468.1243902439026,1468.7,60
OBS,Light_3,0,92.02899347229551,712.8535181728632,1347.186,1437.3,60
OBS,Light_3,0.1,63.45455322363933,491.51685575237457,1381.2316666666666,1430.8,60
OBS,Light_3,1,74.77007739728593,579.166529108656,1098.3339622641508,1158.4,60
OBS,Dark_3,0,48.378605251376854,374.7390649026505,1445.796875,1518.1000000000001,60
OBS,Dark_3,0.1,38.424930550924444,297.6382322058139,1538.6118644067797,1548.1,60
OBS,Dark_3,1,29.642923757702984,229.61310009295968,1454.2934782608695,1449.4499999999998,60
PFOS,Light_1,0,94.93823244524485,735.388386357604,1391.793181818182,1647.0500000000002,60
PFOS,Light_1,0.1,70.61096903495215,546.9502142638746,1203.848148148148,1270.15,60
PFOS,Light_1,1,63.943602865419976,495.3050179885449,948.9516666666667,939.55,60
PFOS,Dark_1,0,40.69347890371818,315.21033218668674,1661.84,1687.75,60
PFOS,Dark_1,0.1,34.12672259197497,264.3444565187189,1469.3551020408163,1513.8,60
PFOS,Dark_1,1,41.84844876210738,324.15669024051255,1516.4183333333333,1534.3000000000002,60
PFOS,Light_2,0,84.35779431189391,653.4326649855118,1110.2938775510204,1176.8999999999999,60
PFOS,Light_2,0.1,103.53291763422979,801.9625315632724,912.9274509803921,767,60
PFOS,Light_2,1,63.49863720629189,491.8583288136703,1047.5035714285714,1111.75,60
PFOS,Dark_2,0,36.92197143371371,285.99636094383834,1480.3774193548386,1475.8,60
PFOS,Dark_2,0.1,53.02264596062385,410.7116495546963,1518.3884615384616,1536.85,60
PFOS,Dark_2,1,43.456510071659984,336.612679583668,1468.1566666666668,1455.3,60
PFOS,Light_3,0,92.02899347229551,712.8535181728632,1347.186,1437.3,60
PFOS,Light_3,0.1,57.513465746191685,445.4973900353423,889.8333333333334,928.3499999999999,60
PFOS,Light_3,1,82.16438943830894,636.4426238917423,909.3270833333333,948.9000000000001,60
PFOS,Dark_3,0,48.378605251376854,374.7390649026505,1445.796875,1518.1000000000001,60
PFOS,Dark_3,0.1,38.57633421402096,298.8109999372691,1452.16875,1467.15,60
PFOS,Dark_3,1,33.68664114086448,260.9356002564675,1512.842105263158,1499.1,60
