Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light,0,52.643587799494,706.287845394883,1279.7384615384615,1355.3,180
F53B,Light,0.1,35.516675911160974,476.5062100331113,1069.3241379310346,1064.15,180
F53B,Light,1,43.31058171071906,581.0724291013618,1024.0622093023255,908.3499999999999,180
F53B,Dark,0,25.195301948443333,338.0304472221132,1527.0150537634408,1518,180
F53B,Dark,0.1,18.710987828097558,251.03424425878376,1487.632183908046,1523.5,180
F53B,Dark,1,22.511494405223512,302.02339059111586,1635.7915151515151,1624.5,180
OBS,Light,0,52.643587799494,706.287845394883,1279.7384615384615,1355.3,180
OBS,Light,0.1,37.91928089668416,508.7405384573697,1395.4522222222222,1472.2,180
OBS,Light,1,41.31625666763251,554.3157509079314,1181.5814814814814,1196.2,180
OBS,Dark,0,25.195301948443333,338.0304472221132,1527.0150537634408,1518,180
OBS,Dark,0.1,21.555980159270653,289.20382174659557,1543.5731843575418,1554.5,180
OBS,Dark,1,17.553766000132324,235.50848422452276,1454.75,1463.1,180
PFOS,Light,0,52.643587799494,706.287845394883,1279.7384615384615,1355.3,180
PFOS,Light,0.1,46.620964267612585,625.4858716738227,1003.8874213836478,1042.9,180
PFOS,Light,1,40.17575063547844,539.014256808061,971.0060975609756,970.55,180
PFOS,Dark,0,25.195301948443333,338.0304472221132,1527.0150537634408,1518,180
PFOS,Dark,0.1,24.71519554981433,331.5891439595108,1480.9308724832215,1513.8,180
PFOS,Dark,1,23.017237894097928,308.80865151292244,1498.906779661017,1498.6,180
