Chemical,Dose,time_end,se,sd,mean,median,n
F53B,0,1,152.26867276563516,527.474155262319,1471.1916666666666,1522.35,12
F53B,0,2,200.06148770724556,693.0333226935313,1210.6499999999999,1535.1,12
F53B,0,3,210.5388729882,729.3280499677062,1275.5583333333334,1575.8500000000001,12
F53B,0,4,215.52745323913487,746.608998872214,1203.5916666666667,1468.05,12
F53B,0,5,258.2491477295333,894.6012897578248,1351.2818181818182,1672.2,12
F53B,0,6,298.86185160135875,1035.2878228353268,1234.3111111111111,1110.5,12
F53B,0,7,220.8966662103735,765.2084981979002,1050.65,936.6500000000001,12
F53B,0,8,217.39991745884154,753.0954051999875,932.76,611.45,12
F53B,0,9,209.55348641019236,725.9145707312948,946.88,722.45,12
F53B,0,10,206.14795749565317,714.1174725180413,955.4699999999999,764.45,12
F53B,0,11,218.628102348174,757.3499624588118,1125.4818181818182,1391.8000000000002,12
F53B,0,12,257.02444683949454,890.358801426581,1326.5555555555557,1363.9,12
F53B,0,13,256.2021018823393,887.5101149322992,1260.1125,1184,12
F53B,0,14,260.26476328717376,901.5835868665439,1238.7875,1202.1,12
F53B,0,15,234.0966288244752,810.934510009168,1089.857142857143,915.7,12
F53B,0,16,224.7924616297343,778.7039294023543,1222.6166666666668,1298.8,12
F53B,0,17,222.44862527983602,770.584642117053,1228.9333333333334,1287.75,12
F53B,0,18,264.79013513850293,917.2599348058324,1230.6399999999999,1037.2,12
F53B,0,19,184.5927599038721,639.448077725739,1267.1125,1297.85,12
F53B,0,20,175.64483803113637,608.4515671142688,1173.5571428571427,1195.1,12
F53B,0,21,99.24257983737516,343.7863811050888,1857.0749999999998,1841.6,12
F53B,0,22,73.81606363116366,255.70634524782525,1562.3,1482.9,12
F53B,0,23,75.10661575493022,260.17694894418446,1643.1857142857143,1702.6999999999998,12
F53B,0,24,117.00095966910727,405.3032133624218,1664.0142857142857,1731.5,12
F53B,0,25,96.10319664174499,332.91123870657003,1637.857142857143,1613.1000000000001,12
F53B,0,26,139.93202351035913,484.7387486517293,1530.5777777777778,1663.5,12
F53B,0,27,180.92754721509337,626.7514085307173,1755.8857142857144,1847.7,12
F53B,0,28,214.08300117930753,741.605270158777,1369.2545454545455,1402.9,12
F53B,0,29,262.5673326342534,909.5599210607292,1229.1,1485.3,12
F53B,0,30,244.23313705984953,846.0484045591853,1131.1000000000001,1129,12
F53B,0,31,93.95865831429384,325.4823400227217,1458.6833333333334,1369.25,12
F53B,0,32,32.70822229280514,113.30460567279098,1464.4833333333333,1427.25,12
F53B,0,33,118.17357102537308,409.365258255591,1505.2666666666667,1567.3000000000002,12
F53B,0,34,76.53447371391972,265.1231940061073,1460.9,1456.25,12
F53B,0,35,95.37396549190346,330.3851079025952,1507.9571428571428,1486.4,12
F53B,0,36,129.44024753459868,448.39417054843403,1182.5272727272727,1209.4,12
F53B,0,37,210.31399563333693,728.5490519595171,1123.411111111111,1023.2,12
F53B,0,38,214.25767197465768,742.2103475430669,1097.6666666666667,1066,12
F53B,0,39,212.05232146108904,734.5707892670688,1009.0222222222222,1176.8999999999999,12
F53B,0,40,211.3513255293903,732.1424681278662,1120.5181818181818,1214.1999999999998,12
F53B,0,41,193.91596411561605,671.7446044939004,1255.1166666666668,1491.15,12
F53B,0,42,140.4542235629341,486.5477026972792,1414.8799999999999,1556.1999999999998,12
F53B,0,43,56.40645353148876,195.39768678262288,1511.1,1456.4,12
F53B,0,44,78.96944406058648,273.5581787168082,1481.5,1509.95,12
F53B,0,45,41.0966437435483,142.36294996876654,1534.5428571428572,1509.3000000000002,12
F53B,0,46,182.1069049994669,630.8368237363909,1456.2727272727273,1425.6999999999998,12
F53B,0,47,212.0666142841428,734.6203010584942,1338.0545454545454,1391,12
F53B,0,48,240.51129713783914,833.1555728740649,1446.0111111111112,1532.3,12
F53B,0,49,232.53045594032372,805.5091279915938,1305.1555555555556,1637.8000000000002,12
F53B,0,50,199.1799190384115,689.9794792439684,1186.1200000000001,1175.3,12
F53B,0.1,1,116.20504226790183,402.54607460738976,1134.6272727272726,991,12
F53B,0.1,2,111.45186870141316,386.08059837868626,1013.78,1002.0999999999999,12
F53B,0.1,3,87.16970430421829,301.964713471323,996.9272727272727,985.0999999999999,12
F53B,0.1,4,81.34619545591248,281.79148706413787,1013.9727272727273,1027,12
F53B,0.1,5,104.84950506378757,363.2093398378607,1002.0636363636364,990.5,12
F53B,0.1,6,128.11796931190435,443.8136644215371,936.8545454545455,983,12
F53B,0.1,7,132.86609139439696,460.26164179637095,842.309090909091,952.5,12
F53B,0.1,8,120.69285070840449,418.09229907456387,834.2363636363636,945.3,12
F53B,0.1,9,97.54187414706163,337.8949637763998,805.9636363636364,764.6,12
F53B,0.1,10,115.12278710625067,398.7970327539228,628,550.75,12
F53B,0.1,11,115.88638780628155,401.44222317222005,761.1636363636363,889.8000000000001,12
F53B,0.1,12,133.252175091691,461.5990749557456,821.5,785.4,12
F53B,0.1,13,146.8568441776487,508.7270311098263,946.8727272727273,924.5,12
F53B,0.1,14,163.8118393989663,567.4608574406456,1020.5545454545454,956.6,12
F53B,0.1,15,177.16635697968886,613.7222633614122,1045.9636363636364,870.5,12
F53B,0.1,16,175.11541442822895,606.6175899563451,925.36,870.9000000000001,12
F53B,0.1,17,195.78535982133693,678.2203811774197,992.09,821.55,12
F53B,0.1,18,184.0397671398464,637.5324545987181,875.42,685.3000000000001,12
F53B,0.1,19,217.67513005032117,754.0487695826383,708.9090909090909,433.1,12
F53B,0.1,20,193.4141527913612,670.0062790750547,589.9000000000001,266.1,12
F53B,0.1,21,97.3193224595707,337.1240221163108,1413.6083333333333,1369.9499999999998,12
F53B,0.1,22,106.4291874649264,368.6815201950504,1396.1833333333334,1466.1,12
F53B,0.1,23,73.10323294264535,253.23702730840927,1536.9,1572.9,12
F53B,0.1,24,73.56973959853303,254.8530537685423,1521.8916666666667,1454.85,12
F53B,0.1,25,86.87687687820686,300.9503295119202,1565.8083333333334,1544.9,12
F53B,0.1,26,90.3042441702023,312.8230780837919,1017.3272727272728,978,12
F53B,0.1,27,125.37705006028091,434.3188416150262,1019.0727272727273,1128,12
F53B,0.1,28,169.81537492408057,588.2577145497308,1117.7454545454545,1032.4,12
F53B,0.1,29,144.61448887970872,500.95928450051974,865.7454545454545,806.9,12
F53B,0.1,30,158.34694555521642,548.5299098499553,912.2,739.2,12
F53B,0.1,31,78.36503786991706,271.464454255511,1442.0916666666667,1445,12
F53B,0.1,32,70.13176109396808,242.94354687806995,1477.7833333333333,1548.5,12
F53B,0.1,33,73.34058108123588,254.05922537865064,1484.35,1565.45,12
F53B,0.1,34,34.245148296046,118.62867352296485,1482.9727272727273,1515.7,12
F53B,0.1,35,62.37166318679397,216.061779184201,1496.6833333333334,1598.3,12
F53B,0.1,36,108.7294337629611,376.64980711128703,1009.0583333333334,1111.35,12
F53B,0.1,37,184.22816529408925,638.1850849491198,1161.4583333333333,1245.4499999999998,12
F53B,0.1,38,176.33433527454935,610.8400556288087,1188.5583333333334,1215.25,12
F53B,0.1,39,167.2349637478583,579.3189080264598,1095.4416666666666,1036.6,12
F53B,0.1,40,166.4507507470075,576.6023145036005,1056.3,847.35,12
F53B,0.1,41,79.33170427408139,274.813084907476,1502.2818181818182,1387.1,12
F53B,0.1,42,43.44743462803732,150.50632846857607,1479.590909090909,1525.8,12
F53B,0.1,43,61.78483615366602,214.028950710936,1524.9916666666666,1572.5500000000002,12
F53B,0.1,44,72.98747152765331,252.83601800376468,1497.9,1558.6,12
F53B,0.1,45,66.21288497236499,229.3681617756999,1497.3818181818183,1605.5,12
F53B,0.1,46,63.623300070561314,220.39757653482545,1128.0583333333334,1121.15,12
F53B,0.1,47,80.60942763245703,279.2392484569243,1090.8166666666666,1058.15,12
F53B,0.1,48,127.47835018705781,441.59795877808324,1187.9083333333333,1163.35,12
F53B,0.1,49,146.74738070038677,508.3478385014447,1072.409090909091,1222.2,12
F53B,0.1,50,136.70405057342603,473.5567223872784,1083.4750000000001,1210.65,12
F53B,1,1,180.1781209484618,624.1553197900522,1054.19,923.35,12
F53B,1,2,198.11223724307024,686.2809210122736,1065.6636363636364,851.1999999999999,12
F53B,1,3,142.2501253660842,492.7688890342003,961.5,940.9,12
F53B,1,4,158.11568571601126,547.7288022674481,961.2416666666667,937.4000000000001,12
F53B,1,5,143.8210935309715,498.21088239151635,833.2833333333333,772.8,12
F53B,1,6,141.17903712658583,489.05853053379894,774.9416666666667,760.6,12
F53B,1,7,242.17692954123478,838.9254927728936,898.0333333333333,714.0999999999999,12
F53B,1,8,176.90294948178095,612.80979302247,821.1666666666666,722.8499999999999,12
F53B,1,9,204.66326906850696,708.9743609395878,1009.8083333333333,964.85,12
F53B,1,10,184.44081176750052,638.9217139411171,1034.8363636363636,1056.5,12
F53B,1,11,189.0494230313461,654.8864116637466,1083.8727272727272,1025.8,12
F53B,1,12,186.5755134718185,646.3165375628823,1175.5545454545454,1077.3999999999999,12
F53B,1,13,200.89332179648045,695.9148805055765,1157.1909090909091,915.2,12
F53B,1,14,196.35901025695486,680.2075645779682,1188.709090909091,1050,12
F53B,1,15,158.63435654282958,549.5255307163543,1100.6090909090908,1045.3,12
F53B,1,16,103.97142002405366,360.1675640334901,921.6727272727273,998.9000000000001,12
F53B,1,17,100.03052806745822,346.5159138415645,895.1363636363636,785.7,12
F53B,1,18,85.09235368294281,294.76855982895523,922.175,850.3499999999999,12
