Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light,0,0.784351332755309,10.523177389700571,12.306410256410256,10.305,180
F53B,Light,0.1,0.5110643488947123,6.8566477500314775,6.716446360153257,4.286666666666666,180
F53B,Light,1,0.5988714335882882,8.034703411716979,6.5564050387596895,3.6925,180
F53B,Dark,0,0.39677976500623063,5.323359159901944,16.792401433691758,17.113333333333333,180
F53B,Dark,0.1,0.3042985024332621,4.082592821352955,15.923304597701149,16.332500000000003,180
F53B,Dark,1,0.3871102814543482,5.193629424725993,18.616636363636363,18.398333333333333,180
OBS,Light,0,0.784351332755309,10.523177389700571,12.306410256410256,10.305,180
OBS,Light,0.1,0.6153797118607279,8.256185206168928,12.738648148148147,13.053333333333333,180
OBS,Light,1,0.6321265682031445,8.48086786131533,9.406008230452676,6.897500000000001,180
OBS,Dark,0,0.39677976500623063,5.323359159901944,16.792401433691758,17.113333333333333,180
OBS,Dark,0.1,0.3833529368250308,5.143219356689708,17.05548417132216,17.834999999999997,180
OBS,Dark,1,0.30243559469625697,4.057599291338433,15.812643229166667,16.057499999999997,180
PFOS,Light,0,0.784351332755309,10.523177389700571,12.306410256410256,10.305,180
PFOS,Light,0.1,0.5591074332695745,7.501213365097176,7.153385744234801,4.526666666666667,180
PFOS,Light,1,0.47787368874330394,6.4113483161316225,5.664928861788618,3.394166666666667,180
PFOS,Dark,0,0.39677976500623063,5.323359159901944,16.792401433691758,17.113333333333333,180
PFOS,Dark,0.1,0.4129801871566931,5.540710631057708,15.300346756152125,15.626666666666667,180
PFOS,Dark,1,0.4235628106307464,5.682691423867317,15.52623352165725,15.333333333333334,180
