Chemical,Dose,time_end,se,sd,mean,median,n
F53B,0,1,2.094824736309885,7.2566857524815935,13.311805555555555,14.071666666666665,12
F53B,0,2,2.288203493950622,7.926569419158203,9.745694444444444,9.496666666666666,12
F53B,0,3,2.9427624364830676,10.194028109187707,11.161666666666667,11.781666666666666,12
F53B,0,4,2.950796534733281,10.221859041912449,11.085833333333333,12.569166666666668,12
F53B,0,5,3.365046127129677,11.65686172400296,12.604848484848484,16.971666666666668,12
F53B,0,6,3.4213014953852143,11.851736036037135,10.601296296296296,4.4766666666666675,12
F53B,0,7,2.844255517165187,9.852790130876393,7.904791666666666,2.0925,12
F53B,0,8,2.975232797285831,10.306508738488665,8.285833333333333,1.2283333333333333,12
F53B,0,9,2.946181329088268,10.205871500583365,8.104,0.6925000000000001,12
F53B,0,10,2.9288772462956367,10.145928399432934,8.382666666666665,2.390833333333333,12
F53B,0,11,3.0480716464323003,10.558829913461725,10.868181818181819,16.795,12
F53B,0,12,3.581660457736951,12.4072357765216,12.83314814814815,16.64,12
F53B,0,13,3.6713826814499733,12.718042676599632,12.500833333333334,10.634166666666667,12
F53B,0,14,3.4787452214803287,12.050726940382752,12.277291666666667,11.089166666666667,12
F53B,0,15,3.2569381053852418,11.282364551268714,10.175952380952381,4.733333333333333,12
F53B,0,16,3.3854567558879936,11.72756621605062,10.833055555555555,9.936666666666667,12
F53B,0,17,3.2403253639883407,11.224816326963843,11.151388888888889,11.5025,12
F53B,0,18,3.3148477878300056,11.482969575757734,11.1,7.378333333333333,12
F53B,0,19,2.5125449665617356,8.703711076772743,11.547500000000001,11.8175,12
F53B,0,20,2.037378062483381,7.057684636894909,9.480238095238095,9.28,12
F53B,0,21,1.2922318357338018,4.4764223892978885,22.585,21.6175,12
F53B,0,22,1.3936263065855956,4.827663139541625,17.459,14.504999999999999,12
F53B,0,23,1.2438951806557315,4.308979304371588,19.18261904761905,19.88,12
F53B,0,24,1.7858709415412048,6.18643841302047,19.134285714285713,19.996666666666666,12
F53B,0,25,1.3894529806862552,4.813206314553224,18.34357142857143,17.638333333333332,12
F53B,0,26,1.814342454352724,6.285066626536269,15.966666666666667,16.404999999999998,12
F53B,0,27,2.822612599547664,9.777816865001238,20.76904761904762,23.115000000000002,12
F53B,0,28,3.2520011179339674,11.265262325064839,14.690151515151515,17.003333333333334,12
F53B,0,29,3.6771535954886105,12.738033709241696,13.485,17.69333333333333,12
F53B,0,30,3.613429975292533,12.517288613598039,11.932291666666668,9.477500000000001,12
F53B,0,31,1.1346656690653665,3.930597176850697,15.967500000000001,15.761666666666667,12
F53B,0,32,1.2853985096862777,4.452751053499897,15.799166666666666,16.275,12
F53B,0,33,2.094830799908889,7.256706757404696,16.177777777777777,17.083333333333336,12
F53B,0,34,1.3984405004623306,4.844339996325609,15.146666666666667,15.688333333333333,12
F53B,0,35,1.6928269113940844,5.864124437908904,15.637619047619047,16.631666666666668,12
F53B,0,36,1.9110619436651581,6.620112765678771,8.915151515151514,7.846666666666667,12
F53B,0,37,3.268364904650116,11.32194814505802,9.210925925925926,4.325,12
F53B,0,38,3.34096492219962,11.573441983110285,8.549814814814814,2.815,12
F53B,0,39,3.055243377360862,10.58367351815469,7.997777777777777,3.0433333333333334,12
F53B,0,40,3.2357371108718644,11.208922151932397,10.32318181818182,6.7716666666666665,12
F53B,0,41,2.47685625146719,8.580081741171536,13.740277777777779,15.834166666666668,12
F53B,0,42,2.010611795366442,6.9649635677439115,16.096,17.416666666666668,12
F53B,0,43,0.9962539403085172,3.4511248837100865,16.267222222222223,15.193333333333333,12
F53B,0,44,1.441400503861806,4.993157813488056,16.218541666666667,17.756666666666668,12
F53B,0,45,0.9999035612668932,3.463767541566637,15.593095238095238,15.803333333333335,12
F53B,0,46,2.566860797131752,8.891866633177886,14.401666666666667,14.129999999999999,12
F53B,0,47,3.135273267803736,10.860905190897146,13.491363636363637,12.646666666666667,12
F53B,0,48,3.5137577416603714,12.17201386808848,14.535740740740742,15.485000000000001,12
F53B,0,49,3.2336061577496134,11.201540313779823,12.44462962962963,10.848333333333333,12
F53B,0,50,2.9034252795464646,10.057760200308694,9.922333333333333,5.3533333333333335,12
F53B,0.1,1,1.5933505543530715,5.519528228815111,6.369242424242424,3.485,12
F53B,0.1,2,1.1782422313168188,4.081550816528104,3.9448333333333334,3.0649999999999995,12
F53B,0.1,3,0.9652199248704947,3.3436199007070226,3.623939393939394,2.25,12
F53B,0.1,4,1.088590669840894,3.7709886976197313,3.769090909090909,2.69,12
F53B,0.1,5,1.298223167354478,4.497176970841898,4.569393939393939,2.4516666666666667,12
F53B,0.1,6,1.43345234119524,4.965624570357426,4.8127272727272725,2.2016666666666667,12
F53B,0.1,7,1.41867058062468,4.91441904969037,4.237272727272727,2.3183333333333334,12
F53B,0.1,8,1.3321545357317623,4.614718678841483,3.586060606060606,1.9549999999999998,12
F53B,0.1,9,1.2381603754440962,4.289113356375462,3.450454545454545,1.5633333333333332,12
F53B,0.1,10,1.102815986137232,3.8202666387777207,1.8958333333333333,0.28583333333333333,12
F53B,0.1,11,0.6275842230893851,2.174015520838912,2.3343939393939395,2.038333333333333,12
F53B,0.1,12,1.0691393018691937,3.703607182412325,2.8345454545454545,1.3283333333333334,12
F53B,0.1,13,2.3114965126398377,8.007258802820948,5.822424242424242,1.4316666666666669,12
F53B,0.1,14,2.688378261474318,9.312815477674413,6.89030303030303,2.6366666666666663,12
F53B,0.1,15,2.714925365283038,9.40477734285543,7.290757575757576,2.243333333333333,12
F53B,0.1,16,2.5976541748150694,8.998538022546212,5.649,1.5333333333333332,12
F53B,0.1,17,3.0222407474922424,10.469349054723011,6.400333333333333,1.7708333333333335,12
F53B,0.1,18,2.499370059009355,8.658071858241252,5.839833333333333,2.6816666666666666,12
F53B,0.1,19,2.867642274378852,9.933804234313085,5.34469696969697,0.705,12
F53B,0.1,20,2.432555881059696,8.426620756491737,4.1906060606060604,0.74,12
F53B,0.1,21,1.5832769904027992,5.48463237966478,15.213611111111112,14.455833333333334,12
F53B,0.1,22,1.6260023822842833,5.632637478688822,15.023055555555555,15.620000000000001,12
F53B,0.1,23,1.4336916908729418,4.966453701962536,16.421060606060607,16.871666666666666,12
F53B,0.1,24,1.337715948036755,4.633983976189656,16.529722222222222,15.3275,12
F53B,0.1,25,1.3504704586944498,4.678166897159268,17.201249999999998,16.289166666666667,12
F53B,0.1,26,1.1500841207705135,3.98400826030542,5.992272727272727,5.4366666666666665,12
F53B,0.1,27,1.8107097033013406,6.272482407751778,6.485,4.223333333333334,12
F53B,0.1,28,2.8163185719697177,9.756013713902753,7.819848484848484,3.3733333333333335,12
F53B,0.1,29,1.9604474382775883,6.791189137330067,5.283636363636363,0.9383333333333332,12
F53B,0.1,30,2.3457075059997794,8.12576916017459,6.101666666666667,2.8883333333333336,12
F53B,0.1,31,1.1969176437372169,4.146244342856968,15.710138888888888,15.545833333333334,12
F53B,0.1,32,1.0628111769517365,3.6816859146649685,15.72375,15.919999999999998,12
F53B,0.1,33,1.1477774317166796,3.9760176550284134,16.32097222222222,17.2825,12
F53B,0.1,34,0.6033599629984534,2.0901002223323983,15.593787878787879,15.853333333333333,12
F53B,0.1,35,0.9204477145171978,3.1885244145088794,15.797083333333333,16.79416666666667,12
F53B,0.1,36,1.166987014099746,4.042561600387716,6.1775,4.920833333333333,12
F53B,0.1,37,2.3368108507001715,8.094950242181893,8.22236111111111,6.161666666666666,12
F53B,0.1,38,2.3132896367732894,8.01347036702778,7.657500000000001,5.109999999999999,12
F53B,0.1,39,2.501691248923071,8.666112695970396,6.83388888888889,2.3183333333333334,12
F53B,0.1,40,2.744371171526253,9.506780607821584,7.119166666666667,1.4616666666666667,12
F53B,0.1,41,1.46285763994569,5.067487513252469,15.818181818181818,14.96,12
F53B,0.1,42,0.7770345186011001,2.6917265309038583,15.492121212121212,16.37666666666667,12
F53B,0.1,43,0.9470274022822154,3.280599153825534,16.823333333333334,17.225,12
F53B,0.1,44,1.2473398883776818,4.320912121954874,15.59530303030303,16.815,12
F53B,0.1,45,0.9836643574826822,3.407513289509201,15.492272727272727,16.153333333333332,12
F53B,0.1,46,0.9956198755489484,3.448928418952362,6.372222222222222,5.445,12
F53B,0.1,47,1.2507510089621168,4.332728590280845,4.946111111111112,4.2124999999999995,12
F53B,0.1,48,2.1844902009212297,7.56729603326383,7.712916666666667,4.781666666666666,12
F53B,0.1,49,2.048357360076392,7.095718039419936,7.010454545454546,3.996666666666667,12
