Chemical,Cycle,Measurement,Df,Sum_Sq,Mean_Sq,F_Value,P_value,is_sig
PFOS,Light_1,Dose,2,166.14411120174466,83.07205560087233,5.709611303376224,1.46e-02,TRUE
PFOS,Light_1,Residuals,155,2255.1742901519824,14.549511549367628,NA, NA,NA
PFOS,Dark_1,Dose,2,20.70203465103428,10.35101732551714,3.4646076113167834,1.02e-01,FALSE
PFOS,Dark_1,Residuals,136,406.31970895408153,2.987644918780011,NA, NA,NA
PFOS,Light_2,Dose,2,387.13713298557735,193.56856649278868,7.826132339271274,2.61e-03,TRUE
PFOS,Light_2,Residuals,153,3784.243530458156,24.733617846131736,NA, NA,NA
PFOS,Dark_2,Dose,2,5.573277990753257,2.7866389953766286,0.5758609896091014,6.76e-01,FALSE
PFOS,Dark_2,Residuals,140,677.4715884428128,4.83908277459152,NA, NA,NA
PFOS,Light_3,Dose,2,34.841617037429664,17.420808518714832,0.8888186618076268,5.72e-01,FALSE
PFOS,Light_3,Residuals,149,2920.3937550203186,19.59995808738469,NA, NA,NA
PFOS,Dark_3,Dose,2,25.55432719269335,12.777163596346675,3.1211569552155485,1.18e-01,FALSE
PFOS,Dark_3,Residuals,134,548.559379254996,4.093726710858179,NA, NA,NA
OBS,Light_1,Dose,2,188.47985248300608,94.23992624150304,9.785143508262005,8.93e-04,TRUE
OBS,Light_1,Residuals,156,1502.4233912626264,9.630919174760425,NA, NA,NA
OBS,Dark_1,Dose,2,14.6894843257515,7.34474216287575,3.014138890588825,1.18e-01,FALSE
OBS,Dark_1,Residuals,128,311.90566558943084,2.4367630124174284,NA, NA,NA
OBS,Light_2,Dose,2,56.43094924377363,28.215474621886816,1.8718101195106902,2.83e-01,FALSE
OBS,Light_2,Residuals,160,2411.823663332913,15.073897895830706,NA, NA,NA
OBS,Dark_2,Dose,2,3.4369466720708153,1.7184733360354076,0.6802394432255812,6.54e-01,FALSE
OBS,Dark_2,Residuals,129,325.8897474356732,2.5262771119044434,NA, NA,NA
OBS,Light_3,Dose,2,45.7461564164168,22.8730782082084,1.6979480902733564,2.86e-01,FALSE
OBS,Light_3,Residuals,160,2155.3618360171204,13.471011475107002,NA, NA,NA
OBS,Dark_3,Dose,2,0.9622304302777341,0.48111521513886707,0.14041797679387227,8.69e-01,FALSE
OBS,Dark_3,Residuals,134,459.1252509160322,3.4263078426569566,NA, NA,NA
F53B,Light_1,Dose,2,354.8641582053299,177.43207910266494,15.387377273050518,1.46e-05,TRUE
F53B,Light_1,Residuals,154,1775.7763195724492,11.531015062158762,NA, NA,NA
F53B,Dark_1,Dose,2,1.0902497791176828,0.5451248895588414,0.4150789855343795,7.44e-01,FALSE
F53B,Dark_1,Residuals,141,185.17586316455518,1.3133039940748594,NA, NA,NA
F53B,Light_2,Dose,2,80.70978447609579,40.354892238047896,2.2952617132843574,2.08e-01,FALSE
F53B,Light_2,Residuals,162,2848.2558240424223,17.58182607433594,NA, NA,NA
F53B,Dark_2,Dose,2,0.733328846590755,0.3666644232953775,0.18537037967637485,8.69e-01,FALSE
F53B,Dark_2,Residuals,142,280.877388279846,1.9780097766186338,NA, NA,NA
F53B,Light_3,Dose,2,277.494020275321,138.7470101376605,8.61617534273186,1.66e-03,TRUE
F53B,Light_3,Residuals,164,2640.9060583673936,16.1030857217524,NA, NA,NA
F53B,Dark_3,Dose,2,10.590624495504507,5.295312247752253,1.6774934737621527,2.86e-01,FALSE
F53B,Dark_3,Residuals,140,441.9353793506493,3.1566812810760667,NA, NA,NA
PFOS,Light,Dose,2,177.16808200417665,88.58404100208833,4.3750972557529,1.97e-02,TRUE
PFOS,Light,Residuals,463,9374.51411623736,20.247330704616328,NA, NA,NA
PFOS,Dark,Dose,2,42.67533264720697,21.337666323603486,5.406621918739155,9.62e-03,TRUE
PFOS,Dark,Residuals,416,1641.7773101265932,3.946580072419695,NA, NA,NA
OBS,Light,Dose,2,198.42897307394236,99.21448653697118,7.7380367322349395,1.48e-03,TRUE
OBS,Light,Residuals,482,6180.040773340719,12.821661355478671,NA, NA,NA
OBS,Dark,Dose,2,4.741139333177707,2.3705696665888536,0.8451522442006442,4.30e-01,FALSE
OBS,Dark,Residuals,397,1113.546303750154,2.8049025283379194,NA, NA,NA
F53B,Light,Dose,2,353.88620905320045,176.94310452660022,11.266042431949403,9.89e-05,TRUE
F53B,Light,Residuals,486,7633.05742183751,15.705879468801461,NA, NA,NA
F53B,Dark,Dose,2,5.034342345713404,2.517171172856702,1.17372580212141,3.72e-01,FALSE
F53B,Dark,Residuals,429,920.0329678394716,2.1445989926328006,NA, NA,NA
PFOS,NA,Dose,2,165.37701204651214,82.68850602325607,6.556838029678754,2.24e-03,TRUE
PFOS,NA,Residuals,882,11122.931812925239,12.611033801502538,NA, NA,NA
OBS,NA,Dose,2,78.28723645840401,39.143618229202005,4.3961595945687195,1.26e-02,TRUE
OBS,NA,Residuals,882,7853.370774075178,8.904048496683876,NA, NA,NA
F53B,NA,Dose,2,173.7672463809477,86.88362319047386,8.587310532605803,6.06e-04,TRUE
F53B,NA,Residuals,918,9288.026301833552,10.117675710058336,NA, NA,NA
