Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light,0,0.8773931299915666,11.771464089914716,21.32897435897436,22.58833333333333,180
F53B,Light,0.1,0.5919445985193496,7.941770167218523,17.822068965517243,17.735833333333332,180
F53B,Light,1,0.7218430285119845,9.684540485022698,17.067703488372093,15.139166666666666,180
F53B,Dark,0,0.41992169914072225,5.63384078703522,25.450250896057348,25.3,180
F53B,Dark,0.1,0.3118497971349593,4.183904070979729,24.793869731800765,25.391666666666666,180
F53B,Dark,1,0.3751915734203919,5.033723176518597,27.263191919191918,27.075,180
OBS,Light,0,0.8773931299915666,11.771464089914716,21.32897435897436,22.58833333333333,180
OBS,Light,0.1,0.6319880149447359,8.479008974289496,23.257537037037036,24.53666666666667,180
OBS,Light,1,0.6886042777938752,9.238595848465524,19.693024691358026,19.936666666666667,180
OBS,Dark,0,0.41992169914072225,5.63384078703522,25.450250896057348,25.3,180
OBS,Dark,0.1,0.3592663359878442,4.820063695776592,25.726219739292365,25.908333333333335,180
OBS,Dark,1,0.29256276666887204,3.925141403742046,24.245833333333334,24.385,180
PFOS,Light,0,0.8773931299915666,11.771464089914716,21.32897435897436,22.58833333333333,180
PFOS,Light,0.1,0.7770160711268764,10.424764527897045,16.731457023060795,17.381666666666668,180
PFOS,Light,1,0.6695958439246404,8.983570946801015,16.183434959349594,16.175833333333337,180
PFOS,Dark,0,0.41992169914072225,5.63384078703522,25.450250896057348,25.3,180
PFOS,Dark,0.1,0.41191992583023884,5.5264857326585135,24.68218120805369,25.23,180
PFOS,Dark,1,0.3836206315682988,5.146810858548707,24.98177966101695,24.976666666666667,180
